complex_id	gene
148	RPS14
148	RPS23
148	RPS18
148	RPS29
148	RPS13
148	RPS11
148	RPS4X
148	RPS6
148	RPS15
148	RPS24
148	RPS25
148	RPS26
148	RPS28
148	FAU
148	RPS27A
148	RPS21
149	LIG4
149	XRCC4
150	LIG4
150	XRCC4
151	LIG4
151	XRCC4
151	PNKP
152	IGF2BP3
152	DDX3X
152	TCERG1
152	U2SURP
152	PPM1G
152	DHX15
152	PRPF4
152	SART1
152	PRPF3
152	PPIH
152	PLRG1
152	ZNF207
152	HTATSF1
152	NUDT21
152	DHX16
152	AQR
152	CDC40
152	PRPF40A
152	SF3B1
152	SNRNP200
152	BCAS2
152	DNAJC8
152	SMNDC1
152	PRPF6
152	LUC7L3
152	SLU7
152	CD2BP2
152	SYF2
152	SNRPB2
152	SNRNP70
152	SNRPA
152	SNRPC
152	SNRPA1
152	PABPC1
152	SNRPB
152	DDX5
152	U2AF2
152	EIF4A3
152	BUD31
152	MTREX
152	RBM25
152	NCBP2
152	MFAP1
152	SNU13
152	MAGOH
152	SNRPE
152	SNRPF
152	SNRPG
152	LSM3
152	LSM6
152	SNRPD1
152	SNRPD2
152	SNRPD3
152	TRA2B
152	TXNL4A
152	SRSF3
152	U2AF1
152	SRSF2
152	SRSF11
152	SRSF1
152	SRSF4
152	DHX9
152	NCBP1
152	SF3A3
152	IK
152	SRSF9
152	SRSF5
152	SRSF6
152	PPIL2
152	SF3B2
152	PRPF4B
152	SNW1
152	THOC5
152	DDX39B
152	CIRBP
152	RBM39
152	DHX8
152	WTAP
152	EFTUD2
152	RNPS1
152	SF3B3
152	SF3B4
152	SF3A2
152	SF3A1
152	SF1
152	SRSF7
152	CPSF6
152	SMU1
152	FNBP3
152	USP39
152	KIAA1429
152	THOC7
152	PRPF8
152	DDX46
152	ALYREF
152	THOC6
152	SRRM1
152	THOC2
152	CACTIN
152	SNRNP27
152	PRPF31
152	CTNNBL1
152	DHX38
152	DDX17
152	PPWD1
152	DGCR14
152	SNRNP40
152	THOC1
152	RBM17
152	THOC3
152	RBM15
152	SPEN
152	CDC5L
152	PRPF18
152	C19ORF43
152	BUD13
152	DDX23
152	SRRT
152	CRNKL1
152	PPIL3
152	MOV10
152	CWC22
152	XAB2
152	RBM22
152	CDK12
152	CWC15
152	TFIP11
152	PUF60
152	DDX41
152	LSM7
152	ACIN1
152	ISY1
152	PRPF19
152	PPIE
152	SRRM2
152	WBP11
152	LSM2
152	SF3B6
152	PPIL1
152	LSM4
152	PAXBP1
152	RBM8A
152	CFAP20
153	SMC2
153	LIG4
153	SMC4
154	LIG4
154	XRCC4
154	NHEJ1
155	PRKDC
155	DCLRE1C
156	POLB
156	XRCC1
156	LIG3
156	PNKP
157	XRCC1
157	LIG3
158	ERCC1
158	MSH2
158	ERCC4
159	MLH1
159	MSH2
159	MSH6
159	PMS2
160	MLH1
160	MSH2
160	MSH6
160	PMS1
161	MSH2
161	MSH6
162	MSH3
162	MSH2
163	PCNA
163	MLH1
163	MSH2
163	MSH6
163	PMS2
164	MLH1
164	PMS2
165	MLH1
165	PMS1
166	RNF123
166	UBAC1
167	MCM3
167	MCM4
167	MCM5
167	MCM7
167	MCM2
167	MCM6
168	ORC5
168	ORC4
168	ORC1
168	ORC2
168	ORC3
168	ORC6
169	SKP1
169	CUL1
169	FBXW2
170	RBX1
170	CUL4A
170	DDB1
171	SUCLG1
171	SUCLG2
172	SUCLG1
172	SUCLA2
173	IDH1
174	GUCY1A2
174	GUCY1B3
175	GUCY1A3
175	GUCY1B3
176	FNTA
176	FNTB
177	CAV3
177	DAG1
178	MLH1
178	PMS2
178	EXO1
179	PCNA
179	MLH1
179	EXO1
180	MSH4
180	MSH5
180	GPS2
181	MEP1A
181	MEP1B
182	MOCS2
183	PIK3C3
183	PIK3R4
184	DHX15
184	SF3B1
184	SNRPB
184	SNRPE
184	SNRPF
184	SNRPG
184	SNRPD1
184	SNRPD2
184	SNRPD3
184	YBX1
184	SF3B2
184	SF3B3
184	SF3B4
184	ZRSR2
184	SNRNP35
184	SNRNP48
184	PRPF8
184	PDCD7
184	ZCRB1
184	RNPC3
184	SNRNP25
184	SF3B5
184	ZMAT5
184	SF3B6
185	HSPA1A
185	NOS1
185	STUB1
186	NBN
186	RFC4
186	RFC2
186	RFC1
186	BRCA1
186	MLH1
186	MSH2
186	MRE11A
186	MSH6
186	BLM
186	ATM
186	RAD50
187	SUPT3H
187	TADA3
187	TAF5L
187	BRCA1
187	MSH2
187	MSH6
187	TAF10
187	TAF9
187	KAT2A
187	TRRAP
188	MED14
188	MED24
188	ESR1
188	MED1
188	KAT2A
188	MED12
188	MED17
188	MED13
188	MED23
188	MED16
188	TRRAP
189	BACH1
189	SMAD9
189	GJB6
189	PSMC3
189	ERCC3
189	MXI1
189	KLF10
189	TGFBI
190	TAF4
190	ATXN7
190	SUPT3H
190	TADA3
190	TAF5L
190	TAF6
190	TAF10
190	SF3B3
190	TAF5
190	TAF7
190	TAF12
190	TAF9
190	TAF2
190	KAT2A
190	TRRAP
190	TAF6L
191	CRB1
191	MPP5
191	PATJ
192	CRB1
192	MPP5
192	MPP4
193	PSEN1
193	NCSTN
193	APH1A
193	PSENEN
194	PSEN2
194	APH1B
194	NCSTN
194	PSENEN
195	PSEN2
195	NCSTN
195	APH1A
195	PSENEN
196	TAF4
196	TBP
196	TAF1
196	TAF6
196	TAF10
196	TAF5
196	TAF13
196	TAF11
196	TAF7
196	TAF12
196	TAF9
196	TAF2
197	TAF4
197	ATXN7
197	SUPT3H
197	TADA3
197	TAF5L
197	TAF6
197	TAF10
197	SF3B3
197	TAF5
197	TAF13
197	TAF7
197	TAF12
197	TAF9
197	TAF2
197	KAT2A
197	TRRAP
197	TAF6L
198	TADA2A
198	SUPT3H
198	TADA3
198	TAF5L
198	TAF10
198	TAF12
198	TAF9
198	KAT2B
198	TRRAP
198	TAF6L
199	P4HB
199	P4HA1
200	P4HB
200	P4HA3
201	ATXN7
201	SUPT3H
201	TADA3
201	TAF5L
201	SUPT7L
201	TAF10
201	SF3B3
201	TAF12
201	TAF9
